protocol_seed,bsc,method,sessions,certification_rate,direct_output_rate,reuse_rate,fallback_rate,false_certification_rate,bad_reuse_rate,candidate_identity_rate_among_certified,candidate_identity_rate_among_direct_outputs,candidate_identity_rate_among_reuses,candidate_good_rate_among_certified,completion_verifier_good_rate,service_completion_rate,mean_protocol_bits,mean_protocol_forward_bits,mean_protocol_reverse_bits,mean_fallback_bits,mean_completion_forward_bits,mean_completion_bits,saving_vs_always_refresh,mean_audit_bits,mean_attempts,mean_logical_round_trips
15742982603362453269,0.05,split256_256,500,0.598,0.0,0.598,0.402,0.002,0.002,0.9899665551839465,,0.9899665551839465,0.9966555183946488,0.998,1.0,1432.0,1008.0,424.0,1717.344,2725.344,3149.344,0.26279400749063664,256.0,1.0,2.0
15742982603362453269,0.05,split512_512,500,0.784,0.0,0.784,0.216,0.0,0.0,0.9974489795918368,,0.9974489795918368,1.0,1.0,1.0,1944.0,1520.0,424.0,922.752,2442.752,2866.752,0.32894382022471913,512.0,1.0,2.0
17838361416203552926,0.0,bonferroni1024,500,0.788,0.0,0.788,0.212,0.0,0.0,0.9974619289340102,,0.9974619289340102,1.0,1.0,1.0,1320.0,1168.0,152.0,905.664,2073.664,2225.664,0.4790112359550561,1024.0,1.0,1.0
17838361416203552926,0.0,bonferroni512,500,0.604,0.0,0.604,0.396,0.0,0.0,0.9966887417218543,,0.9966887417218543,1.0,1.0,1.0,808.0,656.0,152.0,1691.712,2347.712,2499.712,0.41486142322097375,512.0,1.0,1.0
17838361416203552926,0.0,int8_fallback,500,0.0,0.0,0.0,1.0,0.0,0.0,,,,,1.0,1.0,0.0,0.0,0.0,4272.0,4272.0,4272.0,0.0,0.0,0.0,0.0
17838361416203552926,0.0,proposal64_unverified,500,0.0,1.0,1.0,0.0,0.0,0.422,,0.552,0.552,,0.578,1.0,208.0,208.0,0.0,0.0,208.0,208.0,0.951310861423221,0.0,1.0,0.0
17838361416203552926,0.0,screened1024_heuristic,500,0.0,0.0,0.918,0.082,0.0,0.0,,,0.9978213507625272,,1.0,1.0,1320.0,1168.0,152.0,350.304,1518.304,1670.304,0.6090112359550561,1024.0,1.0,1.0
17838361416203552926,0.0,screened512_heuristic,500,0.0,0.0,0.866,0.134,0.0,0.0,,,0.9976905311778291,,1.0,1.0,808.0,656.0,152.0,572.448,1228.448,1380.448,0.6768614232209738,512.0,1.0,1.0
17838361416203552926,0.0,sentrysem1,500,0.52,0.0,0.52,0.48,0.0,0.0,1.0,,1.0,1.0,1.0,1.0,2059.216,1295.648,763.568,2050.56,3346.208,4109.776,0.037973782771535625,413.952,1.0,4.234
17838361416203552926,0.0,sentrysem3,500,0.738,0.0,0.738,0.262,0.0,0.0,1.0,,1.0,1.0,1.0,1.0,3806.928,2339.68,1467.248,1119.264,3458.944,4926.192,-0.1531348314606742,829.696,1.772,8.254
17838361416203552926,0.0,split256_256,500,0.688,0.0,0.688,0.312,0.0,0.0,0.997093023255814,,0.997093023255814,1.0,1.0,1.0,1432.0,1008.0,424.0,1332.864,2340.864,2764.864,0.3527940074906367,256.0,1.0,2.0
17838361416203552926,0.0,split512_512,500,0.838,0.0,0.838,0.162,0.0,0.0,0.9976133651551312,,0.9976133651551312,1.0,1.0,1.0,1944.0,1520.0,424.0,692.064,2212.064,2636.064,0.3829438202247192,512.0,1.0,2.0
17838361416203552926,0.05,bonferroni1024,500,0.706,0.0,0.706,0.294,0.0,0.0,0.9971671388101983,,0.9971671388101983,1.0,1.0,1.0,1320.0,1168.0,152.0,1255.968,2423.968,2575.968,0.39701123595505616,1024.0,1.0,1.0
17838361416203552926,0.05,bonferroni512,500,0.45,0.0,0.45,0.55,0.0,0.0,0.9911111111111112,,0.9911111111111112,1.0,1.0,1.0,808.0,656.0,152.0,2349.6,3005.6,3157.6,0.26086142322097383,512.0,1.0,1.0
17838361416203552926,0.05,int8_fallback,500,0.0,0.0,0.0,1.0,0.0,0.0,,,,,1.0,1.0,0.0,0.0,0.0,4272.0,4272.0,4272.0,0.0,0.0,0.0,0.0
17838361416203552926,0.05,proposal64_unverified,500,0.0,1.0,1.0,0.0,0.0,0.536,,0.45,0.45,,0.464,1.0,208.0,208.0,0.0,0.0,208.0,208.0,0.951310861423221,0.0,1.0,0.0
17838361416203552926,0.05,screened1024_heuristic,500,0.0,0.0,0.902,0.098,0.0,0.0,,,0.9977827050997783,,1.0,1.0,1320.0,1168.0,152.0,418.656,1586.656,1738.656,0.5930112359550561,1024.0,1.0,1.0
17838361416203552926,0.05,screened512_heuristic,500,0.0,0.0,0.8,0.2,0.0,0.0,,,0.995,,1.0,1.0,808.0,656.0,152.0,854.4,1510.4,1662.4,0.6108614232209737,512.0,1.0,1.0
17838361416203552926,0.05,sentrysem1,500,0.41,0.0,0.41,0.59,0.0,0.0,1.0,,1.0,1.0,1.0,1.0,2235.6,1408.8,826.8,2520.48,3929.28,4756.08,-0.11331460674157312,467.2,1.0,4.65
17838361416203552926,0.05,sentrysem3,500,0.676,0.0,0.676,0.324,0.0,0.0,1.0,,1.0,1.0,1.0,1.0,4406.048,2709.632,1696.416,1384.128,4093.76,5790.176,-0.3553782771535581,989.696,1.916,9.648
17838361416203552926,0.05,split256_256,500,0.592,0.0,0.592,0.408,0.0,0.0,0.9932432432432432,,0.9932432432432432,1.0,1.0,1.0,1432.0,1008.0,424.0,1742.976,2750.976,3174.976,0.25679400749063663,256.0,1.0,2.0
17838361416203552926,0.05,split512_512,500,0.798,0.0,0.798,0.202,0.0,0.0,0.9949874686716792,,0.9949874686716792,1.0,1.0,1.0,1944.0,1520.0,424.0,862.944,2382.944,2806.944,0.34294382022471914,512.0,1.0,2.0
